node_1|node_2|edge|chunk_id
india|health indicators|India's health indicators have improved in recent times but continue to lag behind peer nations.|5f490ea1f9f34632a819815c56a0e21d
india|population|India is a country with a population of 1.3 billion.|5f490ea1f9f34632a819815c56a0e21d
active health workers|doctors|Active health workers density includes doctors.|5f490ea1f9f34632a819815c56a0e21d
active health workers|nurses/midwives|Active health workers density includes nurses/midwives.|5f490ea1f9f34632a819815c56a0e21d
doctors and nurses/midwives density|5.0 and 6.0 respectively per 10,000 persons|The density of doctors and nurses/midwives in India is 5.0 and 6.0 respectively, per 10,000 persons.|5f490ea1f9f34632a819815c56a0e21d
who threshold|44.5 doctors, nurses, and midwives per 10,000 population|WHO threshold for health workers density is 44.5 doctors, nurses, and midwives per 10,000 population.|5f490ea1f9f34632a819815c56a0e21d
india's health workers density|who threshold|India's health worker density is much lower than the WHO threshold.|5f490ea1f9f34632a819815c56a0e21d
health worker distribution|inter-state, urban-rural, and public-private sector divide|Health worker issue is compounded by skewed inter-state, urban-rural, and public-private sector divide.|5f490ea1f9f34632a819815c56a0e21d
skilled health workforce|urgent augmentation|Calls to urgently augment the skilled health workforce emphasize its central role.|5f490ea1f9f34632a819815c56a0e21d
human resources|healthcare|Human resources have a central role in healthcare.|5f490ea1f9f34632a819815c56a0e21d
healthcare issue|complex multifactorial issue|Healthcare has evolved into a complex multifactorial issue.|5f490ea1f9f34632a819815c56a0e21d
paucity of skilled personnel|india's progress toward universal health coverage and sdgs|Paucity of skilled personnel must be addressed for India's progress toward universal health coverage and SDGs.|5f490ea1f9f34632a819815c56a0e21d
federal health budget|recent increase|Recent increase in the federal health budget offers an unprecedented opportunity.|5f490ea1f9f34632a819815c56a0e21d
article|read approach|This article utilizes the READ approach to analyze India's health system.|5f490ea1f9f34632a819815c56a0e21d
read approach|data extraction and analysis|READ approach involves extracting and analyzing data, distilling findings.|5f490ea1f9f34632a819815c56a0e21d
public health sector|private health sector|There is a growing divide between the public and private health sector systems.|5f490ea1f9f34632a819815c56a0e21d
private health sector|booming medical tourism industry and medical schools|Private health sector includes a booming medical tourism industry and medical schools.|5f490ea1f9f34632a819815c56a0e21d
national medical council|newly minted|National Medical Council is newly minted.|5f490ea1f9f34632a819815c56a0e21d
article|recommend policies|The article recommends policies to help India achieve its SDGs.|5f490ea1f9f34632a819815c56a0e21d
recommend policies|india's sdgs|Policies are recommended to support India's achievement of SDGs.|5f490ea1f9f34632a819815c56a0e21d
working conditions|auxiliary nurse midwives|Working conditions relate to the environment and circumstances under which auxiliary nurse midwives operate.|08ec3fd889ee49de99d90a7f9954eae1
indian public health standards|health sector reform|Indian public health standards are influenced by and contribute to health sector reform.|08ec3fd889ee49de99d90a7f9954eae1
human resource|auxiliary nurse midwives|Auxiliary nurse midwives are part of the human resource in the health sector.|08ec3fd889ee49de99d90a7f9954eae1
health policy|health sector reform|Health policy guides and shapes health sector reform.|08ec3fd889ee49de99d90a7f9954eae1
india|indian public health standards|Indian public health standards are specific to the country, India.|08ec3fd889ee49de99d90a7f9954eae1
health policy|working conditions|Health policy impacts working conditions within the health sector.|08ec3fd889ee49de99d90a7f9954eae1
india|health indicators|India has health indicators that have improved recently but still lag behind peer nations.|40617619930b48adb78cb41d2eb26919
india|active health workers’ density|India has an estimated active health workers’ density much lower than WHO recommended thresholds.|40617619930b48adb78cb41d2eb26919
active health workers’ density|who recommended thresholds|Current active health workers’ density in India is much lower than WHO recommended thresholds.|40617619930b48adb78cb41d2eb26919
active health workers’ density|inter-state, urban-rural, and public-private sector divide|Low health workers’ density is worsened by skewed inter-state, urban-rural, and public-private sector divide.|40617619930b48adb78cb41d2eb26919
paucity of skilled personnel|multi-factorial issue|Paucity of skilled personnel is a complex, multi-factorial issue.|40617619930b48adb78cb41d2eb26919
paucity of skilled personnel|universal health coverage|Addressing the paucity of skilled personnel is necessary for India to accelerate progress towards universal health coverage.|40617619930b48adb78cb41d2eb26919
paucity of skilled personnel|sustainable development goals (sdgs)|Addressing the paucity of skilled personnel is also necessary to achieve sustainable development goals.|40617619930b48adb78cb41d2eb26919
public sector|private sector|There is a growing divide between the public and private sectors due to their divergent strategies.|40617619930b48adb78cb41d2eb26919
private sector|medical tourism industry|The private sector currently has a booming medical tourism industry.|40617619930b48adb78cb41d2eb26919
private sector|medical schools|The private sector also has a burgeoning number of medical schools.|40617619930b48adb78cb41d2eb26919
national medical council|opportunities|The newly created National Medical Council offers opportunities to address issues in the health sector.|40617619930b48adb78cb41d2eb26919
federal health budget|increase|There has been a recent increase in the federal health budget.|40617619930b48adb78cb41d2eb26919
recommendations|transparent governance|Recommendations include creating transparent governance to address scarcity of quality health personnel.|40617619930b48adb78cb41d2eb26919
recommendations|strengthening health infrastructure|Recommendations include strengthening health infrastructure.|40617619930b48adb78cb41d2eb26919
recommendations|upskilling existing workforce|Recommendations include upskilling the existing health workforce.|40617619930b48adb78cb41d2eb26919
recommendations|partnerships with private sector|Recommendations include creating partnerships with the larger private sector.|40617619930b48adb78cb41d2eb26919
read approach|methodology|The READ approach is the methodology used for document analysis in health policy research.|40617619930b48adb78cb41d2eb26919
read approach|systematic approach|The READ approach is a systematic approach involving readying materials, extracting data, and analyzing it to distill findings.|40617619930b48adb78cb41d2eb26919
policy research|readying one's materials|Policy research consists of readying one's materials as an initial step.|0c9d45a719af411681da6f9296c50560
policy research|extracting the data|Extracting the data is a part of the policy research process.|0c9d45a719af411681da6f9296c50560
policy research|analyzing the data|Analyzing the data is a step involved in policy research to distill findings.|0c9d45a719af411681da6f9296c50560
literature search|56 articles|An extensive literature search led to the selection of 56 articles.|0c9d45a719af411681da6f9296c50560
56 articles|peer-reviewed journals|The 56 articles were published in peer-reviewed journals.|0c9d45a719af411681da6f9296c50560
56 articles|2005 to 2021|The articles were published between 2005 and 2021.|0c9d45a719af411681da6f9296c50560
56 articles|analyzed|The selected 56 articles were analyzed as part of the research.|0c9d45a719af411681da6f9296c50560
corresponding authors' experiential knowledge|foundation for analysis|The experiential knowledge of the corresponding authors served as the foundation for the analysis.|0c9d45a719af411681da6f9296c50560
government-funded health sector|healthcare for vulnerable populations|The government-funded health sector is the provider of healthcare to vulnerable populations.|dc410d30cc3746a480d294c29c64e5fa
government-funded health sector|underfunded with 1.28% of the gdp|The government-funded health sector has been chronically underfunded with 1.28% of the GDP.|dc410d30cc3746a480d294c29c64e5fa
government-funded health sector|healthcare expenditure of $2.7 per citizen per year|The underfunding translates to a healthcare expenditure of $2.7 per citizen per year in the government-funded health sector.|dc410d30cc3746a480d294c29c64e5fa
india|0.7 public hospital beds per 100,000 people|India currently has 0.7 public hospital beds per 100,000 people.|dc410d30cc3746a480d294c29c64e5fa
india|0.576 physicians per 1,000 population in 2000|India had 0.576 physicians per 1,000 population in 2000.|dc410d30cc3746a480d294c29c64e5fa
world health organization|doctor-to-population ratio of 1:1,000|The World Health Organization recommends a doctor-to-population ratio of 1:1,000.|dc410d30cc3746a480d294c29c64e5fa
national health mission (nhm)|started in 2005|The National Health Mission (NHM) was initiated in 2005.|dc410d30cc3746a480d294c29c64e5fa
national health mission (nhm)|increase quantum of services provided|Since its inception, NHM aimed to increase the quantum of healthcare services provided.|dc410d30cc3746a480d294c29c64e5fa
lack of focus on quality|healthcare indicators unchanged|The lack of focus on quality under NHM failed to improve healthcare indicators.|dc410d30cc3746a480d294c29c64e5fa
population|37% had any health insurance coverage in 2018|At best, 37% of the population had any health insurance coverage in 2018.|dc410d30cc3746a480d294c29c64e5fa
for-profit private health sector|dominant provider of healthcare|Due to low insurance coverage and perception of quality, the for-profit private health sector became the dominant healthcare provider.|dc410d30cc3746a480d294c29c64e5fa
for-profit private health sector|consumes 5.1% of the gdp|The private health sector consumes 5.1% of the GDP.|dc410d30cc3746a480d294c29c64e5fa
for-profit private health sector|financed by out-of-pocket (oop) expenditure|The private health sector is financed mainly by Out-Of-Pocket expenditure.|dc410d30cc3746a480d294c29c64e5fa
for-profit private health sector|range from world-class health facilities to informal provider clinics|The private sector spans a wide range, from world-class facilities to informal provider clinics.|dc410d30cc3746a480d294c29c64e5fa
narayana health|internationally accredited, high quality, tertiary healthcare service provider|Narayana Health is an internationally accredited, high quality, tertiary healthcare service provider.|dc410d30cc3746a480d294c29c64e5fa
informal provider clinics|establishments providing medical care often manned by solo providers without formal qualification|Informal provider clinics are medical establishments often manned by a solo provider without formal qualifications or registration.|dc410d30cc3746a480d294c29c64e5fa
world-class health facilities|exist in urban areas|World-class health facilities predominantly exist in urban areas in India.|dc410d30cc3746a480d294c29c64e5fa
provider|formal medical qualification|provider does not have a formal medical qualification or registration|26f8920b590a4130bbd9994744732106
world-class health facilities|urban areas|World-class health facilities exist in urban areas|26f8920b590a4130bbd9994744732106
india|medical tourism|India has become a leading destination for medical tourism|26f8920b590a4130bbd9994744732106
informal providers|urban slums|informal providers are concentrated in urban slums|26f8920b590a4130bbd9994744732106
informal providers|rural areas|informal providers are concentrated in rural areas|26f8920b590a4130bbd9994744732106
informal providers|first choice of care|informal providers are the first choice of care in urban slums and rural areas|26f8920b590a4130bbd9994744732106
informal providers|trusted constant presence|informal providers have built a long-standing trusted constant presence in their communities|26f8920b590a4130bbd9994744732106
informal providers|social, economic, and cultural norms|informal providers have adapted to their social, economic, and cultural norms|26f8920b590a4130bbd9994744732106
public health sector|nhm|Public health sector strategies are associated with NHM|26f8920b590a4130bbd9994744732106
nhm|health challenges|The NHM has sought to address health challenges.|54f86c92a40b4eb6890eb025b99f7a14
nhm|communitization|The NHM approaches health challenges through communitization.|54f86c92a40b4eb6890eb025b99f7a14
nhm|flexible financing|The NHM uses flexible financing as one of its five approaches.|54f86c92a40b4eb6890eb025b99f7a14
nhm|improved management|NHM improves management through capacity building.|54f86c92a40b4eb6890eb025b99f7a14
nhm|monitoring progress against standards|NHM monitors progress against standards as an approach.|54f86c92a40b4eb6890eb025b99f7a14
nhm|innovations in human resource management|NHM adopts innovations in human resource management.|54f86c92a40b4eb6890eb025b99f7a14
nhm|multiple new cadres|NHM has created multiple new cadres to provide primary healthcare.|54f86c92a40b4eb6890eb025b99f7a14
multiple new cadres|primary healthcare|New cadres have been created to provide primary healthcare.|54f86c92a40b4eb6890eb025b99f7a14
multiple new cadres|universal health coverage|New cadres accelerate the pace toward universal health coverage.|54f86c92a40b4eb6890eb025b99f7a14
key cadre|female community health workers|A key cadre has been the female community health workers.|54f86c92a40b4eb6890eb025b99f7a14
female community health workers|accredited social health activists (asha)|Female community health workers are known as Accredited Social Health Activists (ASHA).|54f86c92a40b4eb6890eb025b99f7a14
asha|one for every 1,000 population|There is one ASHA for every 1,000 population.|54f86c92a40b4eb6890eb025b99f7a14
ashas|one million|ASHAs number one million to date.|54f86c92a40b4eb6890eb025b99f7a14
ashas|auxiliary nurse midwives (anm)|ASHAs serve to increase the reach of Auxiliary Nurse Midwives (ANM).|54f86c92a40b4eb6890eb025b99f7a14
anm|population of 5,000|ANMs were meant to serve a population of 5,000.|54f86c92a40b4eb6890eb025b99f7a14
anm|population of up to 20,000|In reality, ANMs serve up to 20,000 people.|54f86c92a40b4eb6890eb025b99f7a14
task shifting|from anms to ashas|Task shifting is occurring from ANMs to ASHAs cadre.|54f86c92a40b4eb6890eb025b99f7a14
anms|high school graduates|ANMs are high school graduates.|54f86c92a40b4eb6890eb025b99f7a14
anms|18 months training|ANMs receive 18 months of training.|54f86c92a40b4eb6890eb025b99f7a14
ashas|school up to eighth grade|ASHAs attend school up to the eighth grade, sometimes less.|54f86c92a40b4eb6890eb025b99f7a14
ashas|23 days initial training|ASHAs receive 23 days of initial training.|54f86c92a40b4eb6890eb025b99f7a14
ashas|additional on-the-job need-based short training|ASHAs receive additional on-the-job need-based short training.|54f86c92a40b4eb6890eb025b99f7a14
anms|government employees|ANMs are government employees.|54f86c92a40b4eb6890eb025b99f7a14
anms|salary|ANMs receive a salary.|54f86c92a40b4eb6890eb025b99f7a14
ashas|private contractors|ASHAs are treated as private contractors.|54f86c92a40b4eb6890eb025b99f7a14
ashas|payment proportionate to work performed|ASHAs receive payment proportionate to the amount of work performed.|54f86c92a40b4eb6890eb025b99f7a14
evaluation of ashas|health systems perspective|Evaluation of ASHAs was done from a health systems perspective.|54f86c92a40b4eb6890eb025b99f7a14
evaluation of ashas|broader system constraints|Evaluation shows broader system constraints.|54f86c92a40b4eb6890eb025b99f7a14
evaluation of ashas|few overall positive findings|Evaluation shows few overall positive findings.|54f86c92a40b4eb6890eb025b99f7a14
government|new cadres|The government is hiring new cadres on a contractual basis.|73a1220d156d4fcda1d81b5cc45016eb
new cadres|rural medical assistants (rmas)|Rural Medical Assistants (RMAs) are part of the new cadres being hired.|73a1220d156d4fcda1d81b5cc45016eb
new cadres|paramedical personnel|Paramedical personnel are also part of the new cadres being hired.|73a1220d156d4fcda1d81b5cc45016eb
rural medical assistants (rmas)|three-year diploma course|The Rural Medical Assistant (RMA) is a three-year diploma course.|73a1220d156d4fcda1d81b5cc45016eb
three-year diploma course|physician assistant program in the us|The RMA diploma course is similar to the physician assistant program in the US.|73a1220d156d4fcda1d81b5cc45016eb
rural medical assistants (rmas)|primary health centers|RMAs work at Primary Health Centers.|73a1220d156d4fcda1d81b5cc45016eb
initial evaluation|rural medical assistants (rmas)|The initial evaluation of RMAs is positive.|73a1220d156d4fcda1d81b5cc45016eb
paramedical councils|courses|Several paramedical councils offer courses to train paramedical personnel.|73a1220d156d4fcda1d81b5cc45016eb
courses|duration from six to 24 months|The courses offered by paramedical councils vary in duration from six to 24 months.|73a1220d156d4fcda1d81b5cc45016eb
courses|supportive care in health facilities and homes|The courses train personnel to provide supportive care in health facilities and homes.|73a1220d156d4fcda1d81b5cc45016eb
scale of such initiatives|nascent|The scale of initiatives to train personnel through these courses remains nascent.|73a1220d156d4fcda1d81b5cc45016eb
systemic integration pathways|undefined|Systemic integration pathways for these initiatives remain undefined.|73a1220d156d4fcda1d81b5cc45016eb
ashas|contractors|ASHAs remain contractors|e4d185bd28a245a7b909dddc4f97cec6
doctors|contractual basis|doctors are being hired on a contractual basis|e4d185bd28a245a7b909dddc4f97cec6
nurses|contractual basis|nurses are being hired on a contractual basis|e4d185bd28a245a7b909dddc4f97cec6
nhm|275,000 contractual personnel|Since the inception of the NHM in 2005, 275,000 contractual personnel have been inducted|e4d185bd28a245a7b909dddc4f97cec6
doctors|contractual posts in rural areas|Doctors are incentivized to accept contractual posts in rural areas|e4d185bd28a245a7b909dddc4f97cec6
nurses|contractual posts in rural areas|Nurses are incentivized to accept contractual posts in rural areas|e4d185bd28a245a7b909dddc4f97cec6
contractual posts in rural areas|monetary incentives|Postings are linked with monetary incentives|e4d185bd28a245a7b909dddc4f97cec6
contractual posts in rural areas|preferential admission into residencies|Postings are linked with preferential admission into residencies|e4d185bd28a245a7b909dddc4f97cec6
doctors trained in indian systems of medicine|ulopathic medicine bridge courses|Doctors trained in Ayurveda, Siddha, and Unani are trained in bridge courses in allopathic medicine|e4d185bd28a245a7b909dddc4f97cec6
working conditions in public sector|demotivating|Working conditions in the public sector remain demotivating|e4d185bd28a245a7b909dddc4f97cec6
demotivating working conditions|low retention rates|Demotivating working conditions result in low retention rates|e4d185bd28a245a7b909dddc4f97cec6
demotivating working conditions|high dissatisfaction levels|Demotivating working conditions result in high dissatisfaction levels|e4d185bd28a245a7b909dddc4f97cec6
contractual employees|lower remuneration|Contractual employees have lower remuneration compared to regular employees|e4d185bd28a245a7b909dddc4f97cec6
contractual employees|delayed salary payments|Contractual employees face delayed salary payments|e4d185bd28a245a7b909dddc4f97cec6
contractual employees|temporary nature of contracts|Temporary nature of contracts is a cause of concern for contractual employees|e4d185bd28a245a7b909dddc4f97cec6
poor infrastructure|demotivation|Poor infrastructure demotivates employees|e4d185bd28a245a7b909dddc4f97cec6
supply chain issues|demotivation|Supply chain issues demotivate employees|e4d185bd28a245a7b909dddc4f97cec6
incidents of violence by communities|doctors|Increasing incidents of violence by communities are against doctors|e4d185bd28a245a7b909dddc4f97cec6
incidents of violence by communities|covid-19 pandemic|Incidents of violence increased especially during the COVID-19 pandemic|e4d185bd28a245a7b909dddc4f97cec6
system failings|doctors|System failings demotivate doctors and encourage them to seek other opportunities.|db669c8a039e4adab1000ba092b6dceb
doctors|private health sector|The majority of doctors (65%) work in the private health sector.|db669c8a039e4adab1000ba092b6dceb
indian-born physicians|high-income countries|More than 60,000 Indian-born physicians now practice in high-income countries.|db669c8a039e4adab1000ba092b6dceb
physicians trained in india|émigré physician workforce|About 10% of physicians trained in India have left the country, making it the largest émigré physician workforce in the world.|db669c8a039e4adab1000ba092b6dceb
ayushman bharat|publicly financed health insurance scheme|'Ayushman Bharat' is a publicly financed health insurance scheme for the poor.|db669c8a039e4adab1000ba092b6dceb
ayushman bharat|primary care from health and wellness centers|Ayushman Bharat is designed to allow access to primary care from health and wellness centers.|db669c8a039e4adab1000ba092b6dceb
ayushman bharat|secondary and tertiary care services from participating private health facilities|Ayushman Bharat allows the poor to avail secondary and tertiary care services from participating private health facilities.|db669c8a039e4adab1000ba092b6dceb
ayushman bharat|stewardship for improved governance and quality control|Ayushman Bharat has the potential to provide stewardship for improved governance and quality control.|db669c8a039e4adab1000ba092b6dceb
ayushman bharat|india's progress toward sdg goals|Ayushman Bharat aims to accelerate India's progress toward its Sustainable Development Goals (SDG).|db669c8a039e4adab1000ba092b6dceb
performance evaluation|ayushman bharat scheme|A recent performance evaluation shows Ayushman Bharat has not succeeded in improving access or financial protection.|db669c8a039e4adab1000ba092b6dceb
similar schemes|various states|Similar health insurance schemes have been independently launched by various states.|db669c8a039e4adab1000ba092b6dceb
similar schemes|mixed results|Similar schemes launched by states have produced mixed results.|db669c8a039e4adab1000ba092b6dceb
publicly funded purchasing of services|private providers|There are concerns about the viability of publicly funded purchasing of services from private providers.|db669c8a039e4adab1000ba092b6dceb
for-profit private health sector|unmet demand for healthcare services|The for-profit private health sector has perceived opportunities in this unmet demand for healthcare services.|e970505879f64b5598fbdb4f98813883
patients|for-profit private health sector|Patients see the for-profit private health sector as providing services that are more available and of higher quality.|e970505879f64b5598fbdb4f98813883
medicalization and corporatization|regulation|The trend towards medicalization and corporatization remains largely unregulated.|e970505879f64b5598fbdb4f98813883
primary care|secondary and tertiary care|Primary care is frequently eclipsed by the more expensive secondary and tertiary care.|e970505879f64b5598fbdb4f98813883
private sector|solo practitioners or small nursing homes|During the eighties and nineties, the private sector was largely made up of solo practitioners or small nursing homes.|e970505879f64b5598fbdb4f98813883
private sector|corporate houses|Since the turn of the century, the private sector has become dominated by corporate houses in urban areas.|e970505879f64b5598fbdb4f98813883
corporate houses|urban areas|Corporate houses dominate the private sector in urban areas.|e970505879f64b5598fbdb4f98813883
corporate houses|tier ii and iii cities|The corporate houses are rapidly expanding to tier II and III cities.|e970505879f64b5598fbdb4f98813883
oop expenditure|total health expenditure|There has been a marked spike in increased OOP expenditure, which accounted for 62% of total health expenditure in 2014.|e970505879f64b5598fbdb4f98813883
private health sector|patients from around the world|The private health sector attracts patients from around the world.|e970505879f64b5598fbdb4f98813883
patients from around the world|india|Nearly 234,000 patients came into India in 2015 for medical tourism.|e970505879f64b5598fbdb4f98813883
medical tourism|india|India is the third most popular destination worldwide for medical tourism.|e970505879f64b5598fbdb4f98813883
medical tourism|influx of $3 billion|Medical tourism brought an influx of $3 billion to India in 2015.|e970505879f64b5598fbdb4f98813883
private sector|medical colleges|The private sector has invested heavily in setting up medical colleges|3af80fd9ec0042a8931dbf169083d0a7
india|medical colleges|India has 619 medical colleges, the highest number per population in the world as of May 21, 2020|3af80fd9ec0042a8931dbf169083d0a7
private sector|279 medical colleges|Out of 619 medical colleges, 279 are in the private sector|3af80fd9ec0042a8931dbf169083d0a7
private medical colleges|fees|Private medical colleges have fees as high as 100 times those of government colleges|3af80fd9ec0042a8931dbf169083d0a7
doctors graduating from private medical colleges|contractual government posts|Doctors graduating from private medical colleges are not attracted to the paltry remuneration offered by contractual government posts|3af80fd9ec0042a8931dbf169083d0a7
doctors|private sector|Doctors gravitate towards higher remuneration in the private sector, making it the largest employer of doctors in India|3af80fd9ec0042a8931dbf169083d0a7
corporate sector|performance targets and practice constraints|The corporate sector imposes performance targets and practice constraints on doctors to maximize profit|3af80fd9ec0042a8931dbf169083d0a7
performance targets and practice constraints|doctors’ professional autonomy|Performance targets and practice constraints restrict doctors’ professional autonomy|3af80fd9ec0042a8931dbf169083d0a7
star doctors|practice rules|A small number of star doctors with flourishing practices can set their own practice rules|3af80fd9ec0042a8931dbf169083d0a7
young and early career doctors|status and opportunity|Most young and early career doctors face erosion of their status and opportunity|3af80fd9ec0042a8931dbf169083d0a7
national medical council india|medical commission|National Medical Council India revamped the inept Medical Commission in 2019|30202e4c47334b5ca1b26c02bc734f9e
national medical council india|national medical council (nmc)|National Medical Council India introduced the National Medical Council (NMC) in 2019|30202e4c47334b5ca1b26c02bc734f9e
national medical council (nmc)|health professionals|NMC aims to improve the regulation of health professionals|30202e4c47334b5ca1b26c02bc734f9e
