node_1|node_2|edge|chunk_id
health professionals|doctors|Doctors are a category of health professionals regulated by NMC|30202e4c47334b5ca1b26c02bc734f9e
health professionals|community health providers|Community Health Providers are a category of health professionals regulated by NMC|30202e4c47334b5ca1b26c02bc734f9e
national medical council (nmc)|medical education|NMC aims to improve the regulation of medical education|30202e4c47334b5ca1b26c02bc734f9e
nmc act|private corporate sector|NMC Act remains silent about the interplay with the private corporate sector|30202e4c47334b5ca1b26c02bc734f9e
nmc act|pharmaceutical industries|NMC Act remains silent about the interplay with the pharmaceutical industries|30202e4c47334b5ca1b26c02bc734f9e
nmc act|medical education|NMC Act remains silent about the interplay with medical education|30202e4c47334b5ca1b26c02bc734f9e
nmc act|healthcare services|NMC Act remains silent about the interplay with healthcare services|30202e4c47334b5ca1b26c02bc734f9e
clarity regarding interplay|other reforms|Introducing clarity regarding interplay alongside other reforms|30202e4c47334b5ca1b26c02bc734f9e
clarity regarding interplay|coordinated implementation|Clarity would ensure coordinated implementation of all inputs for universal health coverage|30202e4c47334b5ca1b26c02bc734f9e
coordinated implementation|universal health coverage|Coordinated implementation is needed for the provision of universal health coverage|30202e4c47334b5ca1b26c02bc734f9e
centralizing control|medical education|Current trend of centralizing control affects medical education|30202e4c47334b5ca1b26c02bc734f9e
centralizing control|states|Centralizing control leaves little leeway for states|30202e4c47334b5ca1b26c02bc734f9e
states|medical education adaptation|States have reduced capacity to adapt medical education to their geographical, cultural, social, and economic diversity|30202e4c47334b5ca1b26c02bc734f9e
india|geographical diversity|India represents geographical diversity|30202e4c47334b5ca1b26c02bc734f9e
india|cultural diversity|India represents cultural diversity|30202e4c47334b5ca1b26c02bc734f9e
india|social diversity|India represents social diversity|30202e4c47334b5ca1b26c02bc734f9e
india|economic diversity|India represents economic diversity|30202e4c47334b5ca1b26c02bc734f9e
total expenditure on health in india|3.84% of its gdp|The total expenditure on health in India is 3.84% of its GDP.|4566cced91be4e1292923bb4dd1d4f38
health expenditure in the us|close to 18% of gdp|The US devotes close to 18% of its GDP to healthcare.|4566cced91be4e1292923bb4dd1d4f38
us healthcare coverage|one-quarter of the population|In the US, close to 18% of GDP is spent on healthcare covering one-quarter of the population.|4566cced91be4e1292923bb4dd1d4f38
government of india healthcare budget allocation|1.29% of its budget|The Government of India has allocated about 1.29% of its budget to healthcare.|4566cced91be4e1292923bb4dd1d4f38
national health policy 2017|commitment to increase healthcare allocation to 2.5% by 2025|The National Health Policy 2017 includes a stated commitment to increase healthcare allocation to 2.5% of budget by 2025.|4566cced91be4e1292923bb4dd1d4f38
domestic general government health expenditure|us 8.6%|The Domestic General Government Health Expenditure was 8.6% for the US.|4566cced91be4e1292923bb4dd1d4f38
domestic general government health expenditure|brazil 4%|The Domestic General Government Health Expenditure was 4% for Brazil.|4566cced91be4e1292923bb4dd1d4f38
domestic general government health expenditure|china's 2.9%|The Domestic General Government Health Expenditure was 2.9% for China.|4566cced91be4e1292923bb4dd1d4f38
indian government healthcare allocation 2024|just over $30 billion|This year the Indian government doubled its healthcare allocation to just over $30 billion.|4566cced91be4e1292923bb4dd1d4f38
indian government traditional healthcare expenditure share|1.29%|Traditionally, the Indian government contributed only 1.29% to healthcare expenditure.|4566cced91be4e1292923bb4dd1d4f38
rest of healthcare expenditure|oop expenditures by consumers|The rest of healthcare expenditure apart from government share has come from out-of-pocket (OOP) expenditures by consumers.|4566cced91be4e1292923bb4dd1d4f38
oop healthcare expenditures|many families falling into poverty|OOP healthcare expenditures have resulted in many families falling into poverty every year.|4566cced91be4e1292923bb4dd1d4f38
government healthcare expenditure share|increasing share to align with other middle-income countries and neighbors|The government must increase its share of healthcare expenditure to align better with other middle-income countries and its neighbors.|4566cced91be4e1292923bb4dd1d4f38
public health system|1% of the gdp|The public health system is currently unable to utilize even the 1% of the GDP that has traditionally been available to it.|14460d0db0054fefaf2b66f2e0bbad11
federal government’s allocation in 2022|public health system capacity|With a doubling of the federal government’s allocation in 2022, the public health system's capacity to utilize it must be increased.|14460d0db0054fefaf2b66f2e0bbad11
financial allocation|utilization capacity|Increasing the financial allocation and its utilization capacity will enhance the health infrastructure and workforce capability.|14460d0db0054fefaf2b66f2e0bbad11
health infrastructure|workforce capability|Enhancing health infrastructure will improve workforce capability.|14460d0db0054fefaf2b66f2e0bbad11
institutional capacity building|competency-based training|Institutional capacity building and competency-based training are required in the government healthcare system.|14460d0db0054fefaf2b66f2e0bbad11
government healthcare system|institutional capacity building|Institutional capacity building is required in the government healthcare system.|14460d0db0054fefaf2b66f2e0bbad11
government healthcare system|competency-based training|Competency-based training is required in the government healthcare system.|14460d0db0054fefaf2b66f2e0bbad11
health services|local priorities|Competency-building will allow the country to align its health services to local priorities.|14460d0db0054fefaf2b66f2e0bbad11
india|population diversity|India exhibits diversity in its population.|14460d0db0054fefaf2b66f2e0bbad11
india|disease profiles|India exhibits diversity in its disease profiles.|14460d0db0054fefaf2b66f2e0bbad11
national health protection mission|limited uptake|The recently started National Health Protection Mission has limited uptake.|14460d0db0054fefaf2b66f2e0bbad11
majority of indians|lack of health insurance|The majority of Indians (up to 80.9% in urban and 85.9% in rural) still do not have health insurance.|14460d0db0054fefaf2b66f2e0bbad11
public health sector|revised standards|The public health sector has revised standards for healthcare infrastructure, personnel, equipment and services.|3af112ea3145454bbcb81dce2cd9580f
revised standards|healthcare infrastructure|Revised standards cover healthcare infrastructure as a key element.|3af112ea3145454bbcb81dce2cd9580f
revised standards|personnel|Revised standards include personnel for healthcare.|3af112ea3145454bbcb81dce2cd9580f
revised standards|equipment|Revised standards specify equipment for healthcare.|3af112ea3145454bbcb81dce2cd9580f
revised standards|services|Revised standards define services for primary, secondary and tertiary care.|3af112ea3145454bbcb81dce2cd9580f
revised standards|primary care|Standards apply to primary care services.|3af112ea3145454bbcb81dce2cd9580f
revised standards|secondary care|Standards apply to secondary care services.|3af112ea3145454bbcb81dce2cd9580f
revised standards|tertiary care|Standards apply to tertiary care services.|3af112ea3145454bbcb81dce2cd9580f
public health sector|accredit health facilities|The public health sector utilizes revised standards to accredit health facilities.|3af112ea3145454bbcb81dce2cd9580f
accredit health facilities|standardization of the health system|Accreditation of health facilities aims to achieve standardization of the health system.|3af112ea3145454bbcb81dce2cd9580f
private health sector|major provider of health care in india|The private health sector is the major provider of healthcare in India.|3af112ea3145454bbcb81dce2cd9580f
private health sector|single provider clinics|The private health sector includes single provider clinics run by unqualified staff.|3af112ea3145454bbcb81dce2cd9580f
private health sector|state-of-the-art hospitals|The private health sector includes state-of-the-art hospitals offering world-class care.|3af112ea3145454bbcb81dce2cd9580f
state-of-the-art hospitals|medical tourism|These hospitals have made India a major hub for medical tourism.|3af112ea3145454bbcb81dce2cd9580f
private health sector|regulation|The private health sector remains largely unregulated with limited enforcement of rules.|3af112ea3145454bbcb81dce2cd9580f
corporate hospitals|land allocation|Corporate hospitals were allocated land in prime urban locations on condition of providing subsidized care.|3af112ea3145454bbcb81dce2cd9580f
corporate hospitals|economic weaker sections care|Corporate hospitals were supposed to provide care at low or no cost to economically weaker sections.|3af112ea3145454bbcb81dce2cd9580f
government|enforce rules|The government could enforce existing rules and create new ones for reasonable healthcare costs and profit caps.|3af112ea3145454bbcb81dce2cd9580f
health insurance scheme for central government employees|purchases services from private sector|This insurance scheme purchases health services from the private sector.|3af112ea3145454bbcb81dce2cd9580f
health insurance scheme for central government employees|model for national health insurance|This scheme is a model that can be expanded for the national health insurance scheme (Ayushman Bharat).|3af112ea3145454bbcb81dce2cd9580f
national health insurance scheme (ayushman bharat)|health services from private sector|Ayushman Bharat aims to scale private sector health services for the broader population.|3af112ea3145454bbcb81dce2cd9580f
digital technology|vaccination program|Digital technology is used to facilitate the vaccination program.|78206dbe07174bf8bcd7d550b7e92f98
evin|digital track and trace system|eVin is a digital track and trace system developed to track vaccine availability and cold chain maintenance.|78206dbe07174bf8bcd7d550b7e92f98
evin|national immunization program|eVin facilitates the national immunization program.|78206dbe07174bf8bcd7d550b7e92f98
evin|covid-19 vaccination|eVin is widely used to accelerate Covid-19 vaccination.|78206dbe07174bf8bcd7d550b7e92f98
online training management information systems|indigenous development|Online Training Management Information Systems have been indigenously developed.|78206dbe07174bf8bcd7d550b7e92f98
online training management information systems|training for new personnel|These systems help schedule training for new personnel.|78206dbe07174bf8bcd7d550b7e92f98
online training management information systems|records and dashboards|These systems maintain records and dashboards.|78206dbe07174bf8bcd7d550b7e92f98
records and dashboards|monitoring, evaluation and policy formulation|Records and dashboards facilitate monitoring, evaluation, and policy formulation.|78206dbe07174bf8bcd7d550b7e92f98
medical devices|mobile health apps|Medical devices and mobile health apps are both technologies enhancing personalized care.|78206dbe07174bf8bcd7d550b7e92f98
mobile health apps|wearable, trackable technology|Mobile health apps and wearable, trackable technology collectively enhance opportunities for patient care.|78206dbe07174bf8bcd7d550b7e92f98
medical devices, mobile health apps, and wearable, trackable technology|personalized care|These technologies enhance opportunities for personalized care.|78206dbe07174bf8bcd7d550b7e92f98
medical devices, mobile health apps, and wearable, trackable technology|self-management|These technologies facilitate patient self-management.|78206dbe07174bf8bcd7d550b7e92f98
medical devices, mobile health apps, and wearable, trackable technology|behavior modification|These technologies support behavior modification.|78206dbe07174bf8bcd7d550b7e92f98
medical devices, mobile health apps, and wearable, trackable technology|tele-monitoring of patients|These technologies enable tele-monitoring of patients.|78206dbe07174bf8bcd7d550b7e92f98
india|application of technology|India should expand application of technology to other portfolios within the health sector|e8534a519e3d429a9631574219e1a730
application of technology|health sector|Application of technology is used in various portfolios within the health sector|e8534a519e3d429a9631574219e1a730
high-income countries|innovations in digital technology|High-Income Countries have innovations in digital technology supporting healthcare delivery|e8534a519e3d429a9631574219e1a730
innovations in digital technology|delivery of vital healthcare|Innovations in digital technology support the delivery of vital healthcare|e8534a519e3d429a9631574219e1a730
covid-19 pandemic|pace and scale of digital healthcare process|COVID-19 pandemic catalyzed the pace and scale of digital healthcare process|e8534a519e3d429a9631574219e1a730
delivery of healthcare|populations denied care otherwise|Healthcare delivery during the pandemic reached populations who would have been denied care otherwise|e8534a519e3d429a9631574219e1a730
telemedicine|consultations with healthcare providers|Telemedicine is used for consultations with healthcare providers|e8534a519e3d429a9631574219e1a730
covid-19 pandemic|increase of telemedicine uptake|Telemedicine uptake increased 50 to 175 times during the COVID-19 pandemic in the US|e8534a519e3d429a9631574219e1a730
scope of medical examination and procedures|covid-19 pandemic|The scope of medical examination and procedures expanded markedly during the COVID-19 pandemic|e8534a519e3d429a9631574219e1a730
ai-embedded logarithms|diagnosis of covid-19 disease|AI-embedded logarithms diagnose COVID-19 disease from chest x-rays and CT scans|e8534a519e3d429a9631574219e1a730
doctors|ophthalmic fundal examination online|Doctors can perform ophthalmic fundal examinations online|e8534a519e3d429a9631574219e1a730
remote orthopedic examinations|standards|Standards for conducting remote orthopedic examinations are used successfully|e8534a519e3d429a9631574219e1a730
drones|delivery of medicines to communities|Drones are used to deliver medicines to communities|e8534a519e3d429a9631574219e1a730
shortage of protective equipment|pandemic|Shortage of protective equipment occurred during the pandemic|e8534a519e3d429a9631574219e1a730
manufacturing protective equipment locally|3d printing|Protective equipment shortage was overcome by local manufacturing using 3D printing|e8534a519e3d429a9631574219e1a730
india|digital divide|India must close its digital divide to take advantage of digital technology for healthcare delivery in rural areas.|a8a85045145f47e58eec6d930a3714b5
digital divide|healthcare delivery|Closing the digital divide is necessary to aid the delivery of healthcare to rural areas.|a8a85045145f47e58eec6d930a3714b5
rural areas|internet density 25.3%|Rural areas in India have an internet density of 25.3%.|a8a85045145f47e58eec6d930a3714b5
rural areas|population 66%|66% of India's population resides in rural areas.|a8a85045145f47e58eec6d930a3714b5
non-rural areas|internet density 97.9%|Non-rural areas in India have an internet density of 97.9%.|a8a85045145f47e58eec6d930a3714b5
non-rural areas|population 34%|34% of India's population lives in non-rural areas.|a8a85045145f47e58eec6d930a3714b5
private health sector|cognitive platform|The private health sector is using cognitive platforms to deliver healthcare in oncology.|a8a85045145f47e58eec6d930a3714b5
cognitive platform|oncology healthcare delivery|Some centers enlist cognitive platforms for healthcare delivery in oncology.|a8a85045145f47e58eec6d930a3714b5
private health sector|healthcare initiatives reach|The reach of private health sector initiatives in healthcare delivery is very limited.|a8a85045145f47e58eec6d930a3714b5
market-driven forces|nation's healthcare needs|Market-driven forces cannot be trusted to meet the healthcare needs of an entire nation.|a8a85045145f47e58eec6d930a3714b5
government|healthcare delivery|Government must step in and direct efforts to improve healthcare delivery.|a8a85045145f47e58eec6d930a3714b5
telemedicine|amplify care reach|Telemedicine can amplify the reach of healthcare.|a8a85045145f47e58eec6d930a3714b5
telemedicine|maternal and child mortality|Telemedicine helps decrease maternal and child mortality rates.|a8a85045145f47e58eec6d930a3714b5
maternal and child mortality|india|Maternal and child mortality rates are among the highest in India.|a8a85045145f47e58eec6d930a3714b5
national policy|prioritizing telemedicine|National policy must prioritize telemedicine to decrease maternal and child mortality.|a8a85045145f47e58eec6d930a3714b5
digital technologies|control of non-communicable disease risk factors|Use of digital technologies can aid in controlling risk factors for non-communicable diseases.|a8a85045145f47e58eec6d930a3714b5
non-communicable diseases|risk factors|Risk factors include smoking, alcohol abuse, physical inactivity, and unhealthy diet.|a8a85045145f47e58eec6d930a3714b5
india|diabetes capital of the world|India is known as the diabetes capital of the world.|a8a85045145f47e58eec6d930a3714b5
digital literacy|care delivery and monitoring|Increasing digital literacy can aid in the delivery and monitoring of care for the elderly.|a8a85045145f47e58eec6d930a3714b5
digital literacy|privacy in mental health care|Digital literacy can ensure privacy in accessing care for mental health issues.|a8a85045145f47e58eec6d930a3714b5
mental health issues|stigma|There is stigma associated with mental health in India.|a8a85045145f47e58eec6d930a3714b5
privacy|overcoming mental health stigma|Ensuring privacy in care can help overcome stigma associated with mental health.|a8a85045145f47e58eec6d930a3714b5
central government|leadership in digital health|Central government must assert leadership to advance digital health initiatives.|a8a85045145f47e58eec6d930a3714b5
central government|mental health|The central government needs to assert leadership in the fight for better mental health services.|20d17ede215e428eab9ad797aa8e9524
central government|better health for all indians|The central government is responsible for leading efforts to provide better health for all Indians.|20d17ede215e428eab9ad797aa8e9524
better health for all indians|those with the money to pay unassisted|Better health for all Indians implies health services not limited to only those who can pay unassisted.|20d17ede215e428eab9ad797aa8e9524
india|live register for health personnel and infrastructure|India needs to have a live register for health personnel and infrastructure|287e21ae25b546ffbf01da71b4b220e3
india|data about practicing doctors|India does not have data about the exact number or geospatial details about its practicing doctors|287e21ae25b546ffbf01da71b4b220e3
accurate data about manpower quantity and geospatial location|efficiency and effectiveness of utilization|Having accurate data about quantity and geospatial location of manpower will increase the efficiency and effectiveness of its utilization|287e21ae25b546ffbf01da71b4b220e3
trained personnel|services they have been trained for|Those trained to provide them must be well-equipped to provide the services they have been trained for|287e21ae25b546ffbf01da71b4b220e3
lack of transparency in training schedules|erratic posting of personnel|Lack of transparency in creating training schedules coupled with erratic posting of personnel affects personnel distribution|287e21ae25b546ffbf01da71b4b220e3
erratic posting of personnel|personnel stay at district or state headquarters|Erratic posting often results in personnel staying at district or state headquarters|287e21ae25b546ffbf01da71b4b220e3
district or state headquarters|better living conditions|District or state headquarters generally have better living conditions than underserved regions|287e21ae25b546ffbf01da71b4b220e3
online training|overcoming challenge of personnel deployment|Online training can help overcome the challenge of personnel staying in better living condition areas|287e21ae25b546ffbf01da71b4b220e3
online training|infrastructure investment|Online training adoption requires investment in necessary infrastructure|287e21ae25b546ffbf01da71b4b220e3
two-year intermittent training initiative|university of nottingham faculty|Two-year intermittent training initiative for upgrading nurses' skills was conducted by University of Nottingham faculty in India|287e21ae25b546ffbf01da71b4b220e3
training initiative evaluations|positive participant feedback|Training initiative received positive evaluations from participants|287e21ae25b546ffbf01da71b4b220e3
few implementations|deeper structural problems|Few participants implemented learning due to deeper structural problems|287e21ae25b546ffbf01da71b4b220e3
deeper structural problems|national and state-level policies, working conditions, staff shortages|Deeper structural problems include national and state-level policies, working conditions, and staff shortages|287e21ae25b546ffbf01da71b4b220e3
sourcing health personnel|native residents of communities|Sourcing health personnel who are native residents of communities helps personnel retention|287e21ae25b546ffbf01da71b4b220e3
ongoing training|clinical and social skills|Providing ongoing training in clinical and social skills supports personnel retention|287e21ae25b546ffbf01da71b4b220e3
non-hierarchical work environment|personnel retention and motivation|Using a non-hierarchical work environment helps personnel retention and motivation|287e21ae25b546ffbf01da71b4b220e3
individualized mentoring|personnel retention and motivation|Providing individualized mentoring helps retain personnel and ensures motivation|287e21ae25b546ffbf01da71b4b220e3
increasing violence|healthcare personnel|Increasing violence is occurring against healthcare personnel, particularly doctors.|1476b86f71d4403487a9baf9c7bf5948
violence against healthcare personnel|worrisome new trend|Violence against healthcare personnel is described as a worrisome new trend.|1476b86f71d4403487a9baf9c7bf5948
low physician-to-patient ratio|delays in attending patients|A low physician-to-patient ratio results in delays in attending to patients.|1476b86f71d4403487a9baf9c7bf5948
low physician-to-patient ratio|adds to costs|A low physician-to-patient ratio adds to costs.|1476b86f71d4403487a9baf9c7bf5948
underpaid physicians|take on more patients than they can reasonably serve|Underpaid physicians are tempted to take on more patients than they can serve reasonably.|1476b86f71d4403487a9baf9c7bf5948
underpaid physicians|defensive medicine practices|Underpaid physicians lead to the setting in of defensive medicine practices.|1476b86f71d4403487a9baf9c7bf5948
defensive medicine practices|ordering unnecessary tests and procedures|Physicians practice defensive medicine by ordering unnecessary tests and procedures.|1476b86f71d4403487a9baf9c7bf5948
profit motive of the private sector|mandatory advance payments|The profit motive of the private sector forces mandatory advance payments.|1476b86f71d4403487a9baf9c7bf5948
unethical practices|pharmaceutical companies|Pharmaceutical companies engage in unethical practices.|1476b86f71d4403487a9baf9c7bf5948
intense focus on specialization|unnecessary referrals and prescriptions|An intense focus on specialization tempts providers to refer unnecessarily and prescribe unneeded treatments.|1476b86f71d4403487a9baf9c7bf5948
providers|unnecessary referrals and prescriptions|Providers are tempted by unethical factors to make unnecessary referrals and prescribe treatments.|1476b86f71d4403487a9baf9c7bf5948
unnecessary referrals and prescriptions|assure patients|Unnecessary referrals and prescriptions are used to assure patients that their concerns are addressed.|1476b86f71d4403487a9baf9c7bf5948
physicians|complex web|Physicians get entangled in a complex web due to these healthcare issues.|1476b86f71d4403487a9baf9c7bf5948
dissatisfied patients|strike out at failing system|Dissatisfied patients may strike out at a healthcare system that is failing them.|1476b86f71d4403487a9baf9c7bf5948
physicians|direct contact with patients|Physicians are in direct contact with their patients.|1476b86f71d4403487a9baf9c7bf5948
physicians|bear brunt of agitated patients|Physicians tend to bear the brunt of agitated and frustrated patients and their families.|1476b86f71d4403487a9baf9c7bf5948
adequately compensated physicians|reduce violence trend|Adequate compensation of physicians, particularly primary care physicians, may reduce the trend of violence.|1476b86f71d4403487a9baf9c7bf5948
private marketplace|cannot solve violence trend|The private marketplace will not be able to solve the violence trend against physicians.|1476b86f71d4403487a9baf9c7bf5948
thoughtful government planning|reverse violence trend|Only thoughtful government planning can reverse the violence trend against healthcare personnel.|1476b86f71d4403487a9baf9c7bf5948
public health sector|private health sector|The public and private health sectors have different aims, strategies, structures, and service provisions.|c1e7154a6bdf4817bb8dcb3955b31cc9
recommendations|public health sector|The recommendations aim to synergize the services of the public health sector.|c1e7154a6bdf4817bb8dcb3955b31cc9
recommendations|private health sector|The recommendations aim to synergize the services of the private health sector.|c1e7154a6bdf4817bb8dcb3955b31cc9
synergized services|maximizing efficiencies at scale|Synergizing services of public and private sectors is intended to maximize efficiencies at scale.|c1e7154a6bdf4817bb8dcb3955b31cc9
transparency|focus|Focus on transparency is essential for improving the health system.|c1e7154a6bdf4817bb8dcb3955b31cc9
training and retaining health personnel|focus|Focus on training and retaining health personnel is essential for improving the health system.|c1e7154a6bdf4817bb8dcb3955b31cc9
strengthening health infrastructure|focus|Focus on strengthening health infrastructure is essential for improving the health system.|c1e7154a6bdf4817bb8dcb3955b31cc9
implementing uniform standards|focus|Focus on implementing uniform standards is essential for improving the health system.|c1e7154a6bdf4817bb8dcb3955b31cc9
broad overarching policy|focus|Focus on a broad overarching policy is essential for improving the health system.|c1e7154a6bdf4817bb8dcb3955b31cc9
india’s health system|providing affordable, accessible, quality care|India’s health system aims to provide affordable, accessible, and quality care for its citizens.|c1e7154a6bdf4817bb8dcb3955b31cc9
ensuring india’s health system ability|transparency, training, infrastructure, standards, policy|Ensuring India’s health system can provide quality care requires transparency, training and retaining health personnel, strengthening infrastructure, implementing uniform standards, and a broad policy.|c1e7154a6bdf4817bb8dcb3955b31cc9
